,authorChannelUrl,text,offensive/non offensive,Algerian Dialect
0,http://www.youtube.com/channel/UCles9OFN0NgktkXVvtdBzHw,فمك كبير من وجهك تقبلي في كميرة وجهك صحيحة,1.0,1.0
1,http://www.youtube.com/channel/UCzuY7uYl2regXlu_WKmtCYQ,سلام الله عليكم ورحمته وبركاته قلولهاةتزول الكوة كرستين من عنقها,0.0,1.0
2,http://www.youtube.com/channel/UCTnw4ZGfNylgSJ1Z1lg1kuQ,افهمي حاجة النداء يكون بصفة الجمع لي مش معني راح يفهم روحو انو مش معني الاخت حنا عارفين خاوتنا واباءنا بلي نخوة ورجال تاع الصح وهم ثاني علابالهم متستنايش تسميلك المعنيين بالواحد هذا محمد وهذا الزوبير وهذا عنتر وتعقفب عليهم بالواحد اذا واحد معجباتوش هدرتها فهو معني وهو من الفية هذه يخي نتي تعرفي خوك وتعرفي باباك مالا لاه يغيضك الحال اذا هم مش من هذوك الناس اعرفي بلي الخطاب ينقال بصفة الجمع ومش تخصيص بالفرد والباقي عليك كيفاه تفهمها,0.0,1.0
3,http://www.youtube.com/channel/UCBkuU6BHLiKCfNRbrBcQ9rQ,مش تقصد رجال اي تقصد خوك باباك يعني كل رجال الجزاير وهي بعد تقصد باباها وخوها,0.0,1.0
4,http://www.youtube.com/channel/UCTnw4ZGfNylgSJ1Z1lg1kuQ,لي غاضتو معناها راهي عليه,0.0,1.0
5,http://www.youtube.com/channel/UCBkuU6BHLiKCfNRbrBcQ9rQ,بركاي ما تكتبي وتعاودي اشتراك منشتاركوش,0.0,1.0
6,http://www.youtube.com/channel/UCxrJG2OSohZwT5zeXzFA0sQ,عندك صح هادو لي هاجموك فهمو بلي راكي عليهم برك انا وحدة صح عانيت من هاد الوحوش لي,1.0,1.0
7,http://www.youtube.com/channel/UChh4Y9OK1oNF59NSnlcxW6Q,عندها الصح,0.0,1.0
8,http://www.youtube.com/channel/UChh4Y9OK1oNF59NSnlcxW6Q,المغتصب خصو الاعدام,1.0,1.0
9,http://www.youtube.com/channel/UCp69ELn0Q41jLghQhL9eRUg,ياعباد الله راهي تحكي على المغتصبين والمتحرشين وعندها الحق في واش قالت اللي قاسوا لكلام هو ثاني متحرش ومغتصب وبيدوفيل والنوع هذا صح يستاهل تعذيب,1.0,1.0
10,http://www.youtube.com/channel/UCzuY7uYl2regXlu_WKmtCYQ,سلام الله عليكم ورحمته وبركاته نتي مشي مسلمة اللي كريتين الكروة لي في عنقك نتاع كرستين,1.0,1.0
11,http://www.youtube.com/channel/UC0NY_6x_a0XHVtwq47kdomw,هدرتك قاع ااصح,0.0,1.0
12,http://www.youtube.com/channel/UCTnw4ZGfNylgSJ1Z1lg1kuQ,علاه راكي تمحي في تعليقاتي ولا كلمة الحق متعجبكمش نعم هذا مجتمع ذكوري بحت وين النساء في عوض يدافعو فيه على بعضاهم ولاو يبحثوا فيه على حجة يدافعوا بيها على المغتصبين والقتلة نساء بلا كرامة نساء بلا وجود,1.0,1.0
13,http://www.youtube.com/channel/UCld_6Coa__HBTb7tZv4AvfA,انا جامي محيت تعليقات ختي لعزيزة ربي يعطيك العافيه,0.0,1.0
14,http://www.youtube.com/channel/UC4hJMgg02cBgTN86U1dwuMw,عندك صح ستعرب بيك,0.0,1.0
15,http://www.youtube.com/channel/UCjwT5nI2rGd4q4t9FvYzjvw,واش دخلك واش كانت لابسا روحي شوفي روحك بصح حبيت نسقسيك حاجا نتي علاش تزوخي بزاف الله يهدي ماخلق,1.0,1.0
16,http://www.youtube.com/channel/UCYfpm2okpWh360SlelWPWTg,ربي يهديك للتخون في بنات بلادك,1.0,1.0
17,http://www.youtube.com/channel/UC8_kGUG55z0QWHrTN1LeIow,ربي يهديك,0.0,1.0
18,http://www.youtube.com/channel/UCBkuU6BHLiKCfNRbrBcQ9rQ,وزيد تقول وتعاود فيها حسبي الله ونعم الوكيل,0.0,1.0
19,http://www.youtube.com/channel/UC5KP171FnZJDDJ7PVpMoHYQ,كنت نحبك بصح كرهت,1.0,1.0
20,http://www.youtube.com/channel/UCgl0LeykkRS5lxfNGEQ7XxA,شيماء الله يرحمها نقطة نتي كون قولتي الله يرحمها سكتي مش تشركي في فومك على الجزايرين كامل خربتيها على روحك برك واحد ماهو يسمع بيك,1.0,1.0
21,http://www.youtube.com/channel/UCXlLzGhDhBdrmTH5318zwdg,عندها لحق نستعرف بيها,0.0,1.0
22,http://www.youtube.com/channel/UC21HL8ZgKDKAdoIDRGIwqqQ,انتي وشدخلك فناس بزاف عليك الله يهديك,1.0,1.0
23,http://www.youtube.com/channel/UC6iJ8azqg2p53W00IOejcGg,ولله لعندك الصح,0.0,1.0
24,http://www.youtube.com/channel/UC5CJQCL2ho3OTjZSQZ4uvmQ,والله غير عندها الحق,0.0,1.0
25,http://www.youtube.com/channel/UCFPmY7iQCwA1Cid-ePA1c2A,لاه تقولي ربي يرحمها من ويكت عدتي تعرفي ربي,1.0,1.0
26,http://www.youtube.com/channel/UCbx6nf40sdklXHaH6xIfr-Q,بعيدا على اني ما نحملهاش راهي تهدر برك باش تشهر في روحا بصح الكلام يلي قالتو صح للاسف ما نقدرش ننكر هذا هو حالنا الجزايرين رجعو يبهدلو بروحهم وين يروحو خصوصا في تعاليق في فايسبوك سوشيال ميديا بهدلو روحهم خصوصا قدام باقي بلدان عربية عقليتهم زيرو حتى الواحد رجع يحشم في بلاصتهم الله يهديهم الا من رحم ربي,1.0,1.0
27,http://www.youtube.com/channel/UCuj0i6E-BFNjc3YV7gqaEsA,عبري عن شعورك واعطي ردت فعلك ولاكن ماتهبطيش نيفو تخصري متابعين صح متمسنيش بهدرتك منحسش نقص في روحي ولاكن كانت عندك طرق عديد لتفسير وتوضيح بهذه الطريق راكي نقصتي من قيمتك اختي العزيز وفي الاخير كل واحد راح يتحاسب وحدو ديري لبغيتي انا ماتهمنيش ولاكن نتصفح طلعتيلي هدر لقلتيها ماش مليح ناس راها تشوف كاين ليتفرج مايعلقش تربحي منو غير دعوت شر انت وليا ربي يهديك هذا واش نقول وشكرا,1.0,1.0
28,http://www.youtube.com/channel/UCXCpP_HnqW-LZKJYjw1mN6w,سوكتي اسوكلي,1.0,1.0
29,http://www.youtube.com/channel/UCzN3IFXOgv3BIpSaKi8EL0w,شحال نكرهها تشبه للحلوف,1.0,1.0
30,http://www.youtube.com/channel/UC3g6d3oO_L3MtChOXm4E5Gw,هي جابت وش راه صاري هذا واقع وبزاف افهمو الهدرة قبل ماتقصفوها هي ماشي تقصد قاع الجزايريين تقصد الفية المنحرفة ولي حس انو تهين فيه هو يامكحلها يامن هادوك الفية غاضهم الحال على المتوحشين داهم النييف على هذ الفية لي مخسرة صورة الجزايريين وبالاخص الرجال,0.0,1.0
31,http://www.youtube.com/channel/UCVjxwTdswjx-DCZiaDe7ZmQ,ربي سبحانو ايقولك السترا ربي يسترنا,0.0,1.0
32,http://www.youtube.com/channel/UCfpGM2n-h3jZwA4Z1e4QoWg,مافهمتش كيفاه اهانت الجزايرين ربي يهديكم اي عندها حق ملخر,0.0,1.0
33,http://www.youtube.com/channel/UCDUHf_5y-INuhDfV6lU_6_A,اولا مفهمتش هذاك لي معلق في رقبتك صليب ولا تخييلي ثانيا الله يرحم كل موتى المسلمين ثالثا ربي يهديك يالالا لي يشوفك وش تقولي يفهم بلي تحاولي تخرجينا من اصولنا وترجعينا فرنسيس يشوفو وحدة عريانة وما يشتغلوش بيها نفهمك بلي هاذوك رجالهم كل يوم يبات مع وحدة على ذيك كي تكون وحدة مكشوفة ما يخزرش فيها,1.0,1.0
34,http://www.youtube.com/channel/UCpqsm7f0oIiTuxc8HtWGIgw,صح كلامك صحيح مي متنسانيش فضايحك وكلامك وزوخ التاعك تهدري علا لحرام ونتي دايراتو نكرهك من قلبي,1.0,1.0
35,http://www.youtube.com/channel/UCHYm-U4NWkfudWZplaemd2g,ماعندها الحق تهدر على الجزايريين انسات روحى ياك حتاهي جزايرية ومشي على جال بعض الناس تسب كامل الجزايريين,0.0,1.0
36,http://www.youtube.com/channel/UC18nh_iYFRSGKZt7IJD_LBg,حنا المسلمين بصح نتي لالا,0.0,1.0
37,http://www.youtube.com/channel/UClX8pCfuxlPsif2PtkX4xWg,عندها الحق 100 حاشا فية قليلة جداا,0.0,1.0
38,http://www.youtube.com/channel/UCjVI29ypdg4bBbs22KiyhQQ,وجه مقلى,1.0,1.0
39,http://www.youtube.com/channel/UCEFi5cGoOm3o4MIuy1D5bAg,هدرتك قلقتني قد مهدرت مفرغة,1.0,1.0
40,http://www.youtube.com/channel/UCEFi5cGoOm3o4MIuy1D5bAg,كي راكي تهدري على الاسلام نتي تصلاي منضونش,0.0,1.0
41,http://www.youtube.com/channel/UCEFi5cGoOm3o4MIuy1D5bAg,معجبتكش الجزاير روحي لفر نسا لاروبا هنين منك,1.0,1.0
42,http://www.youtube.com/channel/UC5zEoEJv5d8I3o-OVEdwr1Q,هذ كلام كلامك ولا جبتيه مترمك,1.0,1.0
43,http://www.youtube.com/channel/UCdjqE6TptFNt405oKLmorvw,نتيا مسلمة نتيا راكي منيتك,1.0,1.0
